DAILY_AQI_VALUE_20,DAILY_AQI_VALUE_19,Date
6.8,8,4-Mar
10.5,10.833333,10-Mar
5.5,6,22-Mar
5,18,28-Mar
8,14.666667,3-Apr
6,14,9-Apr
6,5.333333,15-Apr
4.5,10.333333,21-Apr
6,4.666667,27-Apr
12.5,12,3-May
2.5,13.333333,9-May
10,10.166667,15-May
13,8.333333,21-May
16,10.333333,27-May
14,15.2,2-Jun
11.333333,13.166667,8-Jun
6,8,14-Jun
12.666667,11,20-Jun
12,14.5,26-Jun
16.333333,18.2,2-Jul
16,15.333333,8-Jul
7.666667,12.166667,14-Jul
10.666667,16.8,20-Jul
12,19,26-Jul
